Epsilon,TIME_DB_ANN,ARAND_DB_ANN,AMIS_DB_ANN,TIME_DBPK_ANN,ARAND_DBPK_ANN,AMIS_DBPK_ANN,TIME_DBPU_ANN,ARAND_DBPU_ANN,AMIS_DBPU_ANN,TIME_DB,ARAND_DB,AMIS_DB
0.01,0.27230143547058105,0.0,3.074785202024547e-16,0.2693159580230713,0.0,3.074785202024547e-16,0.26225972175598145,0.0,3.074785202024547e-16,0.6273612976074219,0.0,3.074785202024547e-16
0.060000000000000005,0.27625393867492676,0.0,3.074785202024547e-16,0.28424930572509766,0.0,3.074785202024547e-16,0.26628780364990234,0.0,3.074785202024547e-16,0.8757166862487793,0.0,3.074785202024547e-16
0.11,0.280256986618042,0.0,3.074785202024547e-16,0.279247522354126,0.0,3.074785202024547e-16,0.2632913589477539,0.0,3.074785202024547e-16,1.1778504848480225,0.0,3.074785202024547e-16
0.16000000000000003,0.2792532444000244,0.0,3.074785202024547e-16,0.28220582008361816,0.0,3.074785202024547e-16,0.26326513290405273,0.0,3.074785202024547e-16,1.4939606189727783,0.0,3.074785202024547e-16
0.21000000000000002,0.2852160930633545,0.0,3.074785202024547e-16,0.2872323989868164,0.0,3.074785202024547e-16,0.271256685256958,0.0,3.074785202024547e-16,1.8637588024139404,0.0,3.074785202024547e-16
0.26,0.2872016429901123,0.0,3.074785202024547e-16,0.28228330612182617,0.0,3.074785202024547e-16,0.28324174880981445,0.0,3.074785202024547e-16,2.2439992427825928,0.0,3.074785202024547e-16
0.31000000000000005,0.29122281074523926,0.0,3.074785202024547e-16,0.2842693328857422,0.0,3.074785202024547e-16,0.2792530059814453,0.0,3.074785202024547e-16,2.6538660526275635,0.0,3.074785202024547e-16
0.36000000000000004,0.28922605514526367,0.0,3.074785202024547e-16,0.29415249824523926,0.0,3.074785202024547e-16,0.29222631454467773,0.0,3.074785202024547e-16,3.0278635025024414,0.0,3.074785202024547e-16
0.41000000000000003,0.2912294864654541,0.0,3.074785202024547e-16,0.2932758331298828,0.0,3.074785202024547e-16,0.287233829498291,0.0,3.074785202024547e-16,3.421809196472168,0.0,3.074785202024547e-16
0.46,0.49866533279418945,0.0,3.074785202024547e-16,0.317180871963501,0.0,3.074785202024547e-16,0.29322218894958496,0.0,3.074785202024547e-16,3.803835153579712,0.0,3.074785202024547e-16
0.51,0.30123233795166016,0.0,3.074785202024547e-16,0.2991654872894287,0.0,3.074785202024547e-16,0.2832677364349365,0.0,3.074785202024547e-16,3.9903688430786133,0.0,3.074785202024547e-16
0.56,0.301194429397583,0.0,3.074785202024547e-16,0.3151273727416992,0.0,3.074785202024547e-16,0.289233922958374,0.0,3.074785202024547e-16,4.253593683242798,0.0,3.074785202024547e-16
0.6100000000000001,0.3091695308685303,0.0,3.074785202024547e-16,0.30119776725769043,0.0,3.074785202024547e-16,0.2861969470977783,0.0,3.074785202024547e-16,4.522579908370972,0.0,3.074785202024547e-16
0.66,0.3091435432434082,0.0,3.074785202024547e-16,0.3031599521636963,0.0,3.074785202024547e-16,0.2912280559539795,0.0,3.074785202024547e-16,4.672522068023682,0.0,3.074785202024547e-16
0.7100000000000001,0.31014060974121094,0.0,3.074785202024547e-16,0.3161733150482178,0.0,3.074785202024547e-16,0.29219913482666016,0.0,3.074785202024547e-16,4.8938915729522705,0.0,3.074785202024547e-16
0.76,0.312136173248291,0.0,3.074785202024547e-16,0.3092374801635742,0.0,3.074785202024547e-16,0.297147274017334,0.0,3.074785202024547e-16,4.906905651092529,0.0,3.074785202024547e-16
0.81,0.31817054748535156,0.0,3.074785202024547e-16,0.31218433380126953,0.0,3.074785202024547e-16,0.2982301712036133,0.0,3.074785202024547e-16,5.03849720954895,0.0,3.074785202024547e-16
0.8600000000000001,0.3151702880859375,0.0,3.074785202024547e-16,0.3211383819580078,0.0,3.074785202024547e-16,0.30222606658935547,0.0,3.074785202024547e-16,5.187096834182739,0.0,3.074785202024547e-16
0.91,0.3201732635498047,0.0,3.074785202024547e-16,0.31812047958374023,0.0,3.074785202024547e-16,0.3001852035522461,0.0,3.074785202024547e-16,5.3499884605407715,0.0,3.074785202024547e-16
0.9600000000000001,0.32610201835632324,0.0,3.074785202024547e-16,0.320202112197876,0.0,3.074785202024547e-16,0.3121349811553955,0.0,3.074785202024547e-16,5.401969909667969,0.0,3.074785202024547e-16
1.6,0.3431107997894287,0.0,3.074785202024547e-16,0.32413291931152344,0.0,3.074785202024547e-16,0.30817580223083496,0.0,3.074785202024547e-16,5.9048011302948,0.0,3.074785202024547e-16
1.6500000000000001,0.3400900363922119,0.0,3.074785202024547e-16,0.32416582107543945,0.0,3.074785202024547e-16,0.3150978088378906,0.0,3.074785202024547e-16,5.880319833755493,0.0,3.074785202024547e-16
1.7000000000000002,0.3440861701965332,0.0,3.074785202024547e-16,0.3350942134857178,0.0,3.074785202024547e-16,0.3161630630493164,0.0,3.074785202024547e-16,6.100687026977539,0.0,3.074785202024547e-16
