,AMIS_db,AMIS_dbp_kg,AMIS_dbp_uni,ARAND_db,ARAND_dbp_kg,ARAND_dbp_uni,Exec_time_db,Exec_time_dbp_kg,Exec_time_dbp_uni,epsilon,n_clusters_db,n_clusters_dbp_kg,n_clusters_dbp_uni,n_noise_db,n_noise_dbp_kg,n_noise_dbp_uni
0,0.5859758655732006,0.2769829425844134,0.36043813431586813,0.528797165951291,0.12524461839530332,0.21822453753171972,0.0013899803161621094,0.08053779602050781,0.007682323455810547,0.5,2.0,1.0,2.0,30.0,125.0,105.0
1,0.6162312414524298,0.42372332195689033,0.2650150903047145,0.5299637933107492,0.2774731445635083,0.11460889713851478,0.0013933181762695312,0.08088350296020508,0.00577855110168457,0.6,2.0,1.0,1.0,13.0,114.0,126.0
2,0.6655762188326202,0.5056590447149778,0.5023906502792602,0.551354968216795,0.36871291090974295,0.3847656741745597,0.0014677047729492188,0.08190727233886719,0.008012771606445312,0.7,2.0,1.0,2.0,8.0,109.0,88.0
3,0.7026062463658052,0.5431318791134542,0.24814332727062113,0.560078733112642,0.40912998712124043,0.20448402802517515,0.0015096664428710938,0.0810394287109375,0.009502410888671875,0.7999999999999999,2.0,1.0,1.0,5.0,107.0,90.0
4,0.7315847607219574,0.6073659098033026,0.5859385776270154,0.5681159420289855,0.4739466706963582,0.46122890008167705,0.0014073848724365234,0.08028125762939453,0.008778095245361328,0.8999999999999999,2.0,1.0,3.0,0.0,104.0,57.0
5,0.7315847607219574,0.587782115835064,0.4385050158693212,0.5681159420289855,0.4985007707348488,0.41017449564630304,0.0014388561248779297,0.07958769798278809,0.010227680206298828,0.9999999999999999,2.0,2.0,1.0,0.0,91.0,67.0
6,0.7315847607219574,0.5870156638817516,0.7315847607219574,0.5681159420289855,0.5006982848028516,0.5681159420289855,0.0014002323150634766,0.07855725288391113,0.007513284683227539,1.0999999999999999,2.0,2.0,1.0,0.0,87.0,100.0
7,0.7315847607219574,0.5995367306009425,0.597218372711981,0.5681159420289855,0.5235226920020658,0.5073487662737015,0.001356363296508789,0.08074307441711426,0.010332822799682617,1.1999999999999997,2.0,2.0,1.0,0.0,79.0,57.0
8,0.7315847607219574,0.5892772252877793,0.6045533136315336,0.5681159420289855,0.527382888561048,0.5715496614843187,0.0014221668243408203,0.07990169525146484,0.009514093399047852,1.2999999999999998,2.0,2.0,2.0,0.0,70.0,38.0
9,0.7315847607219574,0.6011215218711797,0.6995230715902805,0.5681159420289855,0.5340892975738659,0.5637661201298102,0.0013613700866699219,0.08065176010131836,0.005865812301635742,1.4,2.0,3.0,2.0,0.0,48.0,89.0
10,0.7315847607219574,0.6195351183971191,0.6479021071121885,0.5681159420289855,0.5665074760475123,0.6099646258503402,0.0014369487762451172,0.08028626441955566,0.0077648162841796875,1.4999999999999998,2.0,3.0,2.0,0.0,37.0,50.0
11,0.7315847607219574,0.6171948907211279,0.6194204303614061,0.5681159420289855,0.5605909954431408,0.5289909795721653,0.0013725757598876953,0.08047819137573242,0.007013082504272461,1.5999999999999996,2.0,3.0,2.0,0.0,34.0,17.0
12,0.0,0.6410447606164577,0.6900269017222048,0.0,0.5945263722855142,0.5437515388376617,0.001302957534790039,0.08184409141540527,0.00989222526550293,1.6999999999999997,1.0,3.0,1.0,0.0,27.0,49.0
13,0.0,0.6592179939693824,0.637018913743013,0.0,0.6143291221547452,0.5312290473980091,0.0014696121215820312,0.08160781860351562,0.010048627853393555,1.7999999999999998,1.0,3.0,1.0,0.0,19.0,54.0
14,0.0,0.6637281139088285,0.7315847607219574,0.0,0.6111745523954009,0.5681159420289855,0.0013959407806396484,0.08296418190002441,0.00980687141418457,1.8999999999999997,1.0,3.0,1.0,0.0,13.0,50.0
15,0.0,0.6772722942844875,0.6590580689543077,0.0,0.5558128299185827,0.5464223216603212,0.0015475749969482422,0.08452939987182617,0.00926518440246582,1.9999999999999996,1.0,2.0,2.0,0.0,5.0,6.0
16,0.0,0.010923701938437084,0.6102623220105716,0.0,0.00036284338590933585,0.5342411012723939,0.0014944076538085938,0.08391833305358887,0.006799459457397461,2.0999999999999996,1.0,1.0,2.0,0.0,2.0,12.0
17,0.0,-2.778217075100865e-17,0.6970423665937585,0.0,0.0,0.5583714437541352,0.0014748573303222656,0.0844423770904541,0.0049936771392822266,2.1999999999999997,1.0,1.0,1.0,0.0,1.0,99.0
18,0.0,0.0,0.653838071376278,0.0,0.0,0.5399218294207123,0.0014820098876953125,0.0845191478729248,0.005068778991699219,2.3,1.0,1.0,1.0,0.0,0.0,97.0
19,0.0,0.0,0.5705725836748526,0.0,0.0,0.5083127474472884,0.0015001296997070312,0.08445978164672852,0.0073735713958740234,2.3999999999999995,1.0,1.0,2.0,0.0,0.0,9.0
20,0.0,0.0,0.09523359951091832,0.0,0.0,0.013678058399610149,0.0014183521270751953,0.08075213432312012,0.0068511962890625,2.4999999999999996,1.0,1.0,1.0,0.0,0.0,9.0
21,0.0,0.0,0.08376509673616464,0.0,0.0,0.010570385554813119,0.001346588134765625,0.08121633529663086,0.010372161865234375,2.5999999999999996,1.0,1.0,1.0,0.0,0.0,8.0
