factor,n_clusters_db,n_noise_db,acc_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,Exec_time_dbp_kg
0.1,3.0,13.0,0.07303370786516854,0.0012640953063964844,4.0,45.0,0.15168539325842698,0.018998146057128906,8.0,33.0,0.0898876404494382,0.01943230628967285
0.2,3.0,13.0,0.07303370786516854,0.0021390914916992188,3.0,25.0,0.4438202247191011,0.034583330154418945,4.0,15.0,0.5,0.03573322296142578
0.30000000000000004,3.0,13.0,0.07303370786516854,0.0013082027435302734,3.0,18.0,0.4887640449438202,0.04766678810119629,3.0,14.0,0.5112359550561798,0.0560765266418457
0.4,3.0,13.0,0.07303370786516854,0.0012536048889160156,3.0,16.0,0.5112359550561798,0.07070112228393555,3.0,14.0,0.5112359550561798,0.07683086395263672
0.5,3.0,13.0,0.07303370786516854,0.0013811588287353516,3.0,17.0,0.4943820224719101,0.07520675659179688,3.0,14.0,0.5112359550561798,0.09266519546508789
0.6,3.0,13.0,0.07303370786516854,0.0012125968933105469,3.0,15.0,0.5,0.08961677551269531,3.0,13.0,0.5112359550561798,0.10759544372558594
0.7000000000000001,3.0,13.0,0.07303370786516854,0.0012249946594238281,3.0,13.0,0.5112359550561798,0.10164022445678711,3.0,13.0,0.5112359550561798,0.12397408485412598
0.8,3.0,13.0,0.07303370786516854,0.0014600753784179688,3.0,13.0,0.5112359550561798,0.11595439910888672,3.0,13.0,0.5112359550561798,0.1439807415008545
0.9,3.0,13.0,0.07303370786516854,0.00118255615234375,3.0,13.0,0.5112359550561798,0.13530874252319336,3.0,13.0,0.5112359550561798,0.16548418998718262
1.0,3.0,13.0,0.07303370786516854,0.0012159347534179688,3.0,13.0,0.5112359550561798,0.1452476978302002,3.0,13.0,0.5112359550561798,0.14426374435424805
