factor,n_clusters_db,n_noise_db,acc_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,Exec_time_dbp_kg
0.1,4.0,18.0,0.0,0.0008668899536132812,3.0,34.0,0.0,0.08957171440124512,2.0,50.0,0.0,0.07364583015441895
0.2,4.0,18.0,0.0,0.0008759498596191406,3.0,37.0,0.0,0.21929526329040527,3.0,37.0,0.0,0.17016220092773438
0.30000000000000004,4.0,18.0,0.0,0.0008606910705566406,3.0,30.0,0.0,0.31467437744140625,3.0,34.0,0.0,0.25969648361206055
0.4,4.0,18.0,0.0,0.0008618831634521484,3.0,34.0,0.0,0.3430147171020508,3.0,34.0,0.0,0.3454909324645996
0.5,4.0,18.0,0.0,0.0008754730224609375,3.0,33.0,0.0,0.4891471862792969,3.0,34.0,0.0,0.43851232528686523
0.6,4.0,18.0,0.0,0.0009605884552001953,3.0,33.0,0.0,0.5572195053100586,3.0,28.0,0.0,0.5328855514526367
0.7000000000000001,4.0,18.0,0.0,0.0009660720825195312,3.0,28.0,0.0,0.6905992031097412,3.0,28.0,0.0,0.5284423828125
0.8,4.0,18.0,0.0,0.0008530616760253906,3.0,33.0,0.0,0.743995189666748,3.0,28.0,0.0,0.5447144508361816
0.9,4.0,18.0,0.0,0.0008633136749267578,3.0,28.0,0.0,0.8151552677154541,3.0,28.0,0.0,0.5286006927490234
1.0,4.0,18.0,0.0,0.0008559226989746094,3.0,28.0,0.0,0.9282321929931641,3.0,28.0,0.0,0.919389009475708
