factor,n_clusters_db,n_noise_db,acc_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,Exec_time_dbp_kg
0.1,3.0,37.0,0.047619047619047616,0.0011286735534667969,4.0,130.0,0.07142857142857142,0.027849197387695312,5.0,115.0,0.09047619047619047,0.024532794952392578
0.2,3.0,37.0,0.047619047619047616,0.0010807514190673828,2.0,81.0,0.38095238095238093,0.048766374588012695,3.0,86.0,0.1619047619047619,0.0474092960357666
0.30000000000000004,3.0,37.0,0.047619047619047616,0.0013098716735839844,3.0,53.0,0.29523809523809524,0.07140588760375977,3.0,62.0,0.2904761904761905,0.07467460632324219
0.4,3.0,37.0,0.047619047619047616,0.0015740394592285156,2.0,54.0,0.44761904761904764,0.09391093254089355,2.0,55.0,0.4380952380952381,0.09780526161193848
0.5,3.0,37.0,0.047619047619047616,0.0011272430419921875,3.0,47.0,0.319047619047619,0.12248969078063965,2.0,44.0,0.47619047619047616,0.12714052200317383
0.6,3.0,37.0,0.047619047619047616,0.0011305809020996094,2.0,45.0,0.4857142857142857,0.14235758781433105,2.0,43.0,0.48095238095238096,0.17765092849731445
0.7000000000000001,3.0,37.0,0.047619047619047616,0.001150369644165039,3.0,43.0,0.32857142857142857,0.1623668670654297,2.0,43.0,0.48095238095238096,0.17748260498046875
0.8,3.0,37.0,0.047619047619047616,0.0011281967163085938,2.0,41.0,0.49047619047619045,0.18631863594055176,2.0,40.0,0.49523809523809526,0.20685172080993652
0.9,3.0,37.0,0.047619047619047616,0.0011377334594726562,2.0,40.0,0.49523809523809526,0.21059918403625488,2.0,40.0,0.49523809523809526,0.24818110466003418
1.0,3.0,37.0,0.047619047619047616,0.001163482666015625,2.0,40.0,0.49523809523809526,0.23349976539611816,2.0,40.0,0.49523809523809526,0.23694467544555664
